Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,P_Biomass,ResidualCapacity,TechnoFriendly_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Biomass,TotalCapacity,TechnoFriendly_globalLimit,1.758,1.654,0.69,0.536,0.389,0.373,0.353,0.333
AT,Power,P_Coal_Hardcoal,ResidualCapacity,TechnoFriendly_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Coal_Hardcoal,TotalCapacity,TechnoFriendly_globalLimit,0.8144648,0.0664648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648,0.0114648
AT,Power,P_Gas,ResidualCapacity,TechnoFriendly_globalLimit,5.119113,4.221271435,4.14727954,4.031446071,3.530089176,3.032959618,1.86768084,0.014918853
AT,Power,P_Gas,TotalCapacity,TechnoFriendly_globalLimit,5.119113,4.221271435,4.14727954,4.031446071,3.530089176,3.032959618,1.86768084,0.014918853
AT,Power,P_Oil,ResidualCapacity,TechnoFriendly_globalLimit,1.187576,0.710196206,0.213552953,0.105470817,0.001989494,0.001145569,,
AT,Power,P_Oil,TotalCapacity,TechnoFriendly_globalLimit,1.187576,0.710196206,0.213552953,0.105470817,0.001989494,0.001145569,,
AT,Power,RES_Hydro_Large,NewCapacity,TechnoFriendly_globalLimit,,,,3.1472,,,,
AT,Power,RES_Hydro_Large,ResidualCapacity,TechnoFriendly_globalLimit,7.846,4.671,4.671,4.671,4.671,4.671,4.671,4.671
AT,Power,RES_Hydro_Large,TotalCapacity,TechnoFriendly_globalLimit,7.846,4.671,4.671,7.8182,7.8182,7.8182,7.8182,7.8182
AT,Power,RES_Hydro_Small,ResidualCapacity,TechnoFriendly_globalLimit,6.014,6.014,6.014,6.014,6.014,6.014,6.014,6.014
AT,Power,RES_Hydro_Small,TotalCapacity,TechnoFriendly_globalLimit,6.014,6.014,6.014,6.014,6.014,6.014,6.014,6.014
AT,Power,RES_PV_Utility_Avg,NewCapacity,TechnoFriendly_globalLimit,,,,,0.081472528,4.900912202,0.332423233,0.412012888
AT,Power,RES_PV_Utility_Avg,ResidualCapacity,TechnoFriendly_globalLimit,0.980174682,0.963247132,0.929623918,0.923131159,0.703188957,,,
AT,Power,RES_PV_Utility_Avg,TotalCapacity,TechnoFriendly_globalLimit,0.980174682,0.963247132,0.929623918,0.923131159,0.784661485,4.98238473,5.314807963,5.726820851
AT,Power,RES_PV_Utility_Opt,NewCapacity,TechnoFriendly_globalLimit,,,5.667200319,3.537509226,3.837069883,,,5.667200319
AT,Power,RES_PV_Utility_Opt,TotalCapacity,TechnoFriendly_globalLimit,,,5.667200319,9.204709544,13.04177943,13.04177943,13.04177943,13.04177943
AT,Power,RES_Wind_Onshore_Avg,NewCapacity,TechnoFriendly_globalLimit,,,,0.631862207,,0.964170186,,
AT,Power,RES_Wind_Onshore_Avg,ResidualCapacity,TechnoFriendly_globalLimit,2.57453753,2.537382861,2.412484098,1.418749276,1.245822961,,,
AT,Power,RES_Wind_Onshore_Avg,TotalCapacity,TechnoFriendly_globalLimit,2.57453753,2.537382861,2.412484098,2.050611483,1.877685168,1.596032393,1.596032393,1.596032393
AT,Power,RES_Wind_Onshore_Opt,NewCapacity,TechnoFriendly_globalLimit,,,8.603712248,9.489074881,1.623077153,0.130802385,,8.603712248
