Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Power,CO2,P_Coal_Hardcoal,Emissions,DirectedTransition_globalLimit,1.785375289,,,,,,,
AT,Power,CO2,P_Gas,Emissions,DirectedTransition_globalLimit,2.74325131,2.25403816,,,,,,
AT,Power,CO2,P_Oil,Emissions,DirectedTransition_globalLimit,0.424368421,0.360713158,,,,,,
AT,Industry,CO2,HLI_Gas_Boiler,Emissions,DirectedTransition_globalLimit,3.984488762,4.004576085,3.787804734,1.588614091,0.302005241,,,
AT,Industry,CO2,HLI_Hardcoal,Emissions,DirectedTransition_globalLimit,0.215569685,0.194129662,0.008530044,,,,,
AT,Industry,CO2,HLI_Oil_Boiler,Emissions,DirectedTransition_globalLimit,0.600755257,0.459960846,0.029718269,,,,,
AT,Industry,CO2,HMI_Gas,Emissions,DirectedTransition_globalLimit,12.9285883,12.81760662,12.28356383,1.66707521,0.556595659,,,
AT,Industry,CO2,HMI_HardCoal,Emissions,DirectedTransition_globalLimit,0.542047759,0.249089626,,,,,,
AT,Industry,CO2,HMI_Oil,Emissions,DirectedTransition_globalLimit,0.5263293,0.302224526,,,,,,
AT,Industry,CO2,HHI_BF_BOF,Emissions,DirectedTransition_globalLimit,19.19224159,16.62345381,4.757742559,2.957364143,1.072620292,,,
AT,Industry,CO2,HHI_DRI_EAF,Emissions,DirectedTransition_globalLimit,0.446350331,0.195119246,,0.076799226,,,,
AT,Buildings,CO2,HLR_Gas_Boiler,Emissions,DirectedTransition_globalLimit,12.14434148,11.43465176,7.557990224,2.36209552,0.498720174,,,
AT,Buildings,CO2,HLR_Hardcoal,Emissions,DirectedTransition_globalLimit,0.060342187,0.03867248,,,,,,
AT,Buildings,CO2,HLR_Oil_Boiler,Emissions,DirectedTransition_globalLimit,3.195259106,0.203797525,,,,,,
AT,Transportation,CO2,FRT_Rail_Conv,Emissions,DirectedTransition_globalLimit,2.499142439,2.997453274,,,,,,
AT,Transportation,CO2,FRT_Road_ICE,Emissions,DirectedTransition_globalLimit,40.0211555,38.68852692,24.52068888,14.41871808,,,,
AT,Transportation,CO2,FRT_Road_PHEV,Emissions,DirectedTransition_globalLimit,,,5.033657914,4.242172552,1.538597652,,,
AT,Transportation,CO2,FRT_Ship_Conv,Emissions,DirectedTransition_globalLimit,0.49616343,0.731043091,0.540245607,,,,,
AT,Transportation,CO2,PSNG_Air_Conv,Emissions,DirectedTransition_globalLimit,0.306609688,0.292971229,0.264326399,,,,,
AT,Transportation,CO2,PSNG_Rail_Conv,Emissions,DirectedTransition_globalLimit,0.266569081,0.200784834,,,,,,
AT,Transportation,CO2,PSNG_Road_ICE,Emissions,DirectedTransition_globalLimit,9.522965434,8.183497779,5.178262925,2.92571944,,,,
AT,Transportation,CO2,PSNG_Road_PHEV,Emissions,DirectedTransition_globalLimit,,0.101812761,0.235847154,0.228846674,0.134543309,,,
BE,Power,CO2,P_Coal_Hardcoal,Emissions,DirectedTransition_globalLimit,1.707479547,,,,,,,
BE,Power,CO2,P_Gas,Emissions,DirectedTransition_globalLimit,7.498641296,6.161383599,1.499448813,0.416043068,0.328096296,,,
BE,Industry,CO2,HLI_Gas_Boiler,Emissions,DirectedTransition_globalLimit,4.404476391,4.175659541,4.277446657,1.253878004,0.095901951,,,
BE,Industry,CO2,HLI_Hardcoal,Emissions,DirectedTransition_globalLimit,0.203875127,0.18360456,,,,,,
BE,Industry,CO2,HLI_Oil_Boiler,Emissions,DirectedTransition_globalLimit,0.295651671,0.150963368,0.005833432,0.000185886,,,,
BE,Industry,CO2,HMI_Gas,Emissions,DirectedTransition_globalLimit,24.4552925,33.91668949,32.99934148,13.39618984,5.96339836,,,
BE,Industry,CO2,HMI_HardCoal,Emissions,DirectedTransition_globalLimit,0.311397948,0.127138763,,,,,,
BE,Industry,CO2,HMI_Oil,Emissions,DirectedTransition_globalLimit,19.03743764,7.579196606,,,,,,
BE,Industry,CO2,HHI_BF_BOF,Emissions,DirectedTransition_globalLimit,17.16187117,12.99406905,4.111173874,2.247198693,0.484300693,,,
BE,Industry,CO2,HHI_DRI_EAF,Emissions,DirectedTransition_globalLimit,0.791040226,1.001962713,,,0.126165864,,,
BE,Buildings,CO2,HLR_Gas_Boiler,Emissions,DirectedTransition_globalLimit,16.52346202,18.77532613,11.17884726,4.615080304,0.998367118,,,
BE,Buildings,CO2,HLR_Hardcoal,Emissions,DirectedTransition_globalLimit,0.398884053,0.330948035,,,,,,
BE,Buildings,CO2,HLR_Oil_Boiler,Emissions,DirectedTransition_globalLimit,10.36844885,3.616962659,0.038439607,0.076879213,0.153758426,,,
BE,Transportation,CO2,FRT_Rail_Conv,Emissions,DirectedTransition_globalLimit,0.582404441,0.470027803,,,,,,
BE,Transportation,CO2,FRT_Road_ICE,Emissions,DirectedTransition_globalLimit,56.41259857,58.40142783,39.76221376,24.68609707,,,,
BE,Transportation,CO2,FRT_Road_PHEV,Emissions,DirectedTransition_globalLimit,,,3.057447018,2.576698305,2.171381649,,,
BE,Transportation,CO2,FRT_Ship_Conv,Emissions,DirectedTransition_globalLimit,2.137650036,2.199106823,0.727469848,,,,,
BE,Transportation,CO2,PSNG_Air_Conv,Emissions,DirectedTransition_globalLimit,0.429680324,0.410567498,0.370424868,,,,,
BE,Transportation,CO2,PSNG_Rail_Conv,Emissions,DirectedTransition_globalLimit,0.163435888,0.127074041,,,,,,
BE,Transportation,CO2,PSNG_Road_ICE,Emissions,DirectedTransition_globalLimit,14.82822929,12.43132988,7.256775575,3.776350639,,,,
BE,Transportation,CO2,PSNG_Road_PHEV,Emissions,DirectedTransition_globalLimit,,0.300140539,0.695269347,0.674632171,0.209759538,,,
BG,Power,CO2,P_Coal_Hardcoal,Emissions,DirectedTransition_globalLimit,0.403122133,0.335204817,0.192984,0.0377927,,,,
BG,Power,CO2,P_Coal_Lignite,Emissions,DirectedTransition_globalLimit,14.56266095,11.55304436,6.648171304,1.30134417,,,,
BG,Power,CO2,P_Gas,Emissions,DirectedTransition_globalLimit,0.519215172,0.4266218,,,,,,
BG,Industry,CO2,HLI_Gas_Boiler,Emissions,DirectedTransition_globalLimit,0.890084581,0.994901654,0.600561427,0.134219115,0.054624746,,,
BG,Industry,CO2,HLI_Hardcoal,Emissions,DirectedTransition_globalLimit,0.0167622,0.015202925,,,,,,
BG,Industry,CO2,HLI_Lignite,Emissions,DirectedTransition_globalLimit,0.004105739,,,,,,,
BG,Industry,CO2,HLI_Oil_Boiler,Emissions,DirectedTransition_globalLimit,0.091616289,0.0292348,,,,,,
BG,Industry,CO2,HMI_Gas,Emissions,DirectedTransition_globalLimit,6.572666842,7.72017995,4.788899346,1.031890287,0.488449804,,,
BG,Industry,CO2,HMI_HardCoal,Emissions,DirectedTransition_globalLimit,3.017081719,0.307893651,,,,,,
BG,Industry,CO2,HMI_Oil,Emissions,DirectedTransition_globalLimit,0.118049678,0.060483677,,,,,,
BG,Industry,CO2,HHI_BF_BOF,Emissions,DirectedTransition_globalLimit,1.479248891,1.262763335,0.271361846,0.076307544,,,,
BG,Industry,CO2,HHI_DRI_EAF,Emissions,DirectedTransition_globalLimit,0.153305364,0.114749593,,,0.002521836,,,
BG,Buildings,CO2,HLR_Gas_Boiler,Emissions,DirectedTransition_globalLimit,3.820572282,3.497603202,2.36124976,0.557949419,0.193884227,,,
BG,Buildings,CO2,HLR_Hardcoal,Emissions,DirectedTransition_globalLimit,0.495451733,0.284607354,,,,,,
BG,Buildings,CO2,HLR_Oil_Boiler,Emissions,DirectedTransition_globalLimit,0.096307576,,,,,,,
